code,description,status,superseded_by
27073000,Xylol (xylenes),current,
27074000,Naphthalene,current,
27071000,Benzol (benzene),current,
27072000,Toluol (toluene),current,
27075000,Other aromatic hydrocarbon mixtures of which 65 % or more by volume (including losses) distils at 250 °C by the ISO 3405 method (equivalent to the ASTM D 86 method),current,
27050000,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",current,
27160000,Electrical energy,current,
27150000,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (for example, bituminous mastics, cut-backs)",current,
27030000,"Peat (including peat litter), whether or not agglomerated",current,
27060000,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars",current,
27079100,Creosote oils,current,
03036700,Alaska Pollock (Theragra chalcogramma),current,
03036500,Coalfish (Pollachius virens),current,
03036400,Haddock (Melanogrammus aeglefinus),current,
28257000,Molybdenum oxides and hydroxides,current,
28255000,Copper oxides and hydroxides,current,
28254000,Nickel oxides and hydroxides,current,
28251000,Hydrazine and hydroxylamine and their inorganic salts,current,
28256000,Germanium oxides and zirconium dioxide,current,
28252000,Lithium oxide and hydroxide,current,
28253000,Vanadium oxides and hydroxides,current,
28258000,Antimony oxides,current,
02083000,Of primates,current,
02086000,Of camels and other camelids (Camelidae),current,
02085000,Of reptiles (including snakes and turtles),current,
25233000,Aluminous cement,current,
25239000,Other hydraulic cements,current,
25231000,Cement clinkers,current,
29024400,Mixed xylene isomers,current,
29024300,p-Xylene,current,
29024200,m-Xylene,current,
29024100,o-Xylene,current,
28121300,Phosphorus trichloride,current,
28121200,Phosphorus oxychloride,current,
28121400,Phosphorus pentachloride,current,
28121600,Sulphur dichloride,current,
28121100,Carbonyl dichloride (phosgene),current,
28121500,Sulphur monochloride,current,
28121700,Thionyl chloride,current,
03024200,Anchovies (Engraulis spp.),current,
03024700,Swordfish (Xiphias gladius),current,
03024100,"Herrings (Clupea harengus, Clupea pallasii)",current,
03024400,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",current,
03024600,Cobia (Rachycentron canadum),current,
07011000,Seed,current,
27111100,Natural gas,current,
27111900,Other,current,
27111400,"Ethylene, propylene, butylene and butadiene",current,
28012000,Iodine,current,
28011000,Chlorine,current,
28048000,Arsenic,current,
28043000,Nitrogen,current,
28049000,Selenium,current,
28044000,Oxygen,current,
28041000,Hydrogen,current,
26209100,"Containing antimony, beryllium, cadmium, chromium or their mixtures",current,
12113000,Coca leaf,current,
12115000,Ephedra,current,
12116000,Bark of African cherry (Prunus africana),current,
12114000,Poppy straw,current,
12112000,Ginseng roots,current,
08024200,Shelled,current,
08024100,In shell,current,
08023100,In shell,current,
08023200,Shelled,current,
13021300,Of hops,current,
13021200,Of liquorice,current,
13021400,Of ephedra,current,
13021100,Opium,current,
07051100,Cabbage lettuce (head lettuce),current,
07051900,Other,current,
09023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",current,
09022000,Other green tea (not fermented),current,
09021000,Green tea (not fermented) in immediate packings of a content not exceeding 3 kg,current,
09024000,Other black tea (fermented) and other partly fermented tea,current,
12072900,Other,current,
12072100,Seed,current,
26211000,Ash and residues from the incineration of municipal waste,current,
26219000,Other,current,
28333000,Alums,current,
28334000,Peroxosulphates (persulphates),current,
28263000,Sodium hexafluoroaluminate (synthetic cryolite),current,
03032400,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",current,
03032500,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp.,Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",current,
03032600,Eels (Anguilla spp.),current,
03032900,Other,current,
03032300,Tilapias (Oreochromis spp.),current,
01059400,Fowls of the species Gallus domesticus,current,
27011100,Anthracite,current,
27011900,Other coal,current,
08131000,Apricots,current,
08133000,Apples,current,
08132000,Prunes,current,
29026000,Ethylbenzene,current,
29025000,Styrene,current,
29023000,Toluene,current,
29029000,Other,current,
29022000,Benzene,current,
29027000,Cumene,current,
02099000,Other,current,
28352600,Other phosphates of calcium,current,
28352400,Of potassium,current,
28352200,Of mono- or disodium,current,
28352500,Calcium hydrogenorthophosphate (dicalcium phosphate),current,
09081200,Crushed or ground,current,
09081100,Neither crushed nor ground,current,
01061300,Camels and other camelids (Camelidae),current,
01061900,Other,current,
01061100,Primates,current,
01061200,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",current,
17021100,"Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",current,
17021900,Other,current,
27109900,Other,current,
03057900,Other,current,
03057200,"Fish heads, tails and maws",current,
12024100,In shell,current,
12024200,"Shelled, whether or not broken",current,
12023000,Seed,current,
05040000,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",current,
05010000,"Human hair, unworked, whether or not washed or scoured; waste of human hair",current,
05100000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved",current,
04109000,Other,current,
28445000,Spent (irradiated) fuel elements (cartridges) of nuclear reactors (Euratom),current,
09041200,Crushed or ground,current,
09041100,Neither crushed nor ground,current,
18031000,Not defatted,current,
18032000,Wholly or partly defatted,current,
01063200,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",current,
01063300,Ostriches; emus (Dromaius novaehollandiae),current,
01063100,Birds of prey,current,
20091200,"Not frozen, of a Brix value not exceeding 20",current,
08101000,Strawberries,current,
08105000,Kiwifruit,current,
08106000,Durians,current,
08107000,Persimmons,current,
14042000,Cotton linters,current,
14049000,Other,current,
28273100,Of magnesium,current,
28273500,Of nickel,current,
28273200,Of aluminium,current,
10089000,Other cereals,current,
10084000,Fonio (Digitaria spp.),current,
10083000,Canary seed,current,
10085000,Quinoa (Chenopodium quinoa),current,
10081000,Buckwheat,current,
10086000,Triticale,current,
03048400,Swordfish (Xiphias gladius),current,
03048600,"Herrings (Clupea harengus, Clupea pallasii)",current,
03048100,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",current,
03048500,Toothfish (Dissostichus spp.),current,
03048700,"Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",current,
02109300,Of reptiles (including snakes and turtles),current,
02109100,Of primates,current,
03082200,Frozen,current,
03082100,"Live, fresh or chilled",current,
03082900,Other,current,
09061900,Other,current,
09061100,Cinnamon (Cinnamomum zeylanicum Blume),current,
07115900,Other,current,
07115100,Mushrooms of the genus Agaricus,current,
28070000,Sulphuric acid; oleum,current,
28080000,Nitric acid; sulphonitric acids,current,
28451000,Heavy water (deuterium oxide) (Euratom),current,
28454000,Helium-3,current,
28452000,Boron enriched in boron-10 and its compounds,current,
28453000,Lithium enriched in lithium-6 and its compounds,current,
29021900,Other,current,
29021100,Cyclohexane,current,
28030000,Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),current,
28020000,"Sulphur, sublimed or precipitated; colloidal sulphur",current,
15099000,Other,current,
15092000,Extra virgin olive oil,current,
15094000,Other virgin olive oils,current,
15093000,Virgin olive oil,current,
27022000,Agglomerated lignite,current,
27021000,"Lignite, whether or not pulverised, but not agglomerated",current,
25261000,"Not crushed, not powdered",current,
25262000,Crushed or powdered,current,
09093200,Crushed or ground,current,
09093100,Neither crushed nor ground,current,
19012000,Mixes and doughs for the preparation of bakers' wares of heading 1905,current,
19011000,"Preparations suitable for infants or young children, put up for retail sale",current,
18040000,"Cocoa butter, fat and oil",current,
18020000,"Cocoa shells, husks, skins and other cocoa waste",current,
18050000,"Cocoa powder, not containing added sugar or other sweetening matter",current,
18010000,"Cocoa beans, whole or broken, raw or roasted",current,
07039000,Leeks and other alliaceous vegetables,current,
07032000,Garlic,current,
25221000,Quicklime,current,
25222000,Slaked lime,current,
25223000,Hydraulic lime,current,
29012400,"Buta-1,3-diene and isoprene",current,
29012300,Butene (butylene) and isomers thereof,current,
29012100,Ethylene,current,
29012900,Other,current,
29012200,Propene (propylene),current,
03055200,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",current,
03011100,Freshwater fish,current,
03011900,Other,current,
05069000,Other,current,
05061000,Ossein and bones treated with acid,current,
07141000,Manioc (cassava),current,
07143000,Yams (Dioscorea spp.),current,
07144000,Taro (Colocasia spp.),current,
07145000,Yautia (Xanthosoma spp.),current,
14011000,Bamboos,current,
14012000,Rattans,current,
14019000,Other,current,
26020000,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight",current,
26030000,Copper ores and concentrates,current,
26070000,Lead ores and concentrates,current,
26080000,Zinc ores and concentrates,current,
26180000,Granulated slag (slag sand) from the manufacture of iron or steel,current,
26090000,Tin ores and concentrates,current,
26060000,Aluminium ores and concentrates,current,
26140000,Titanium ores and concentrates,current,
26050000,Cobalt ores and concentrates,current,
26110000,Tungsten ores and concentrates,current,
26100000,Chromium ores and concentrates,current,
26040000,Nickel ores and concentrates,current,
12081000,Of soya beans,current,
12089000,Other,current,
03061500,Norway lobsters (Nephrops norvegicus),current,
08012200,Shelled,current,
08012100,In shell,current,
08011100,Desiccated,current,
08011900,Other,current,
08011200,In the inner shell (endocarp),current,
03075900,Other,current,
03075100,"Live, fresh or chilled",current,
03075200,Frozen,current,
03099000,Other,current,
03091000,Of fish,current,
28364000,Potassium carbonates,current,
28363000,Sodium hydrogencarbonate (sodium bicarbonate),current,
28365000,Calcium carbonate,current,
28366000,Barium carbonate,current,
28362000,Disodium carbonate,current,
03027400,Eels (Anguilla spp.),current,
03027100,Tilapias (Oreochromis spp.),current,
03027200,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",current,
03027900,Other,current,
03027300,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",current,
03025200,Haddock (Melanogrammus aeglefinus),current,
03025300,Coalfish (Pollachius virens),current,
03025600,"Blue whiting (Micromesistius poutassou, Micromesistius australis)",current,
03025500,Alaska Pollock (Theragra chalcogramma),current,
11081200,Maize (corn) starch,current,
11081100,Wheat starch,current,
11081300,Potato starch,current,
11081400,Manioc (cassava) starch,current,
28191000,Chromium trioxide,current,
25061000,Quartz,current,
25062000,Quartzite,current,
16055500,Octopus,current,
16055400,Cuttlefish and squid,current,
16055200,"Scallops, including queen scallops",current,
16055900,Other,current,
16055600,"Clams, cockles and arkshells",current,
16055800,"Snails, other than sea snails",current,
16055100,Oysters,current,
16055700,Abalone,current,
08025200,Shelled,current,
08025100,In shell,current,
07095100,Mushrooms of the genus Agaricus,current,
07095600,Truffles (Tuber spp.),current,
07095500,"Matsutake (Tricholoma matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum)",current,
07095300,Mushrooms of the genus Cantharellus,current,
07095900,Other,current,
07095400,Shiitake (Lentinus edodes),current,
07095200,Mushrooms of the genus Boletus,current,
10082100,Seed,current,
10082900,Other,current,
12011000,Seed,current,
12019000,Other,current,
11082000,Inulin,current,
10031000,Seed,current,
10039000,Other,current,
28433000,Gold compounds,current,
03031200,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",current,
03031100,Sockeye salmon (red salmon) (Oncorhynchus nerka),current,
03031300,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),current,
03031900,Other,current,
17019100,Containing added flavouring or colouring matter,current,
02021000,Carcases and half-carcases,current,
13023100,Agar-agar,current,
13023900,Other,current,
28091000,Diphosphorus pentaoxide,current,
28092000,Phosphoric acid and polyphosphoric acids,current,
28331100,Disodium sulphate,current,
28331900,Other,current,
15101000,Crude olive pomace oil,current,
15109000,Other,current,
21042000,Homogenised composite food preparations,current,
21041000,Soups and broths and preparations therefor,current,
03044500,Swordfish (Xiphias gladius),current,
03044100,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",current,
03044600,Toothfish (Dissostichus spp.),current,
03044800,Rays and skates (Rajidae),current,
03044300,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",current,
09082200,Crushed or ground,current,
09082100,Neither crushed nor ground,current,
09101100,Neither crushed nor ground,current,
09101200,Crushed or ground,current,
19030000,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or similar forms",current,
28164000,"Oxides, hydroxides and peroxides, of strontium or barium",current,
28161000,Hydroxide and peroxide of magnesium,current,
28403000,Peroxoborates (perborates),current,
15151100,Crude oil,current,
28131000,Carbon disulphide,current,
28061000,Hydrogen chloride (hydrochloric acid),current,
28062000,Chlorosulphuric acid,current,
25087000,Chamotte or dinas earths,current,
25083000,Fireclay,current,
25081000,Bentonite,current,
25085000,"Andalusite, kyanite and sillimanite",current,
25086000,Mullite,current,
25084000,Other clays,current,
25232900,Other,current,
25232100,"White cement, whether or not artificially coloured",current,
26151000,Zirconium ores and concentrates,current,
26159000,Other,current,
03047200,Haddock (Melanogrammus aeglefinus),current,
03047300,Coalfish (Pollachius virens),current,
03047500,Alaska Pollock (Theragra chalcogramma),current,
19043000,Bulgur wheat,current,
03021900,Other,current,
03021300,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",current,
03021400,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),current,
03046100,Tilapias (Oreochromis spp.),current,
03046900,Other,current,
03046200,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",current,
03046300,Nile perch (Lates niloticus),current,
12030000,Copra,current,
12130000,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets",current,
28170000,Zinc oxide; zinc peroxide,current,
28230000,Titanium oxides,current,
28220000,Cobalt oxides and hydroxides; commercial cobalt oxides,current,
20057000,Olives,current,
20056000,Asparagus,current,
20058000,Sweetcorn (Zea mays var. saccharata),current,
20054000,Peas (Pisum sativum),current,
20051000,Homogenised vegetables,current,
07102200,"Beans (Vigna spp., Phaseolus spp.)",current,
07102100,Peas (Pisum sativum),current,
07102900,Other,current,
03049100,Swordfish (Xiphias gladius),current,
03049700,Rays and skates (Rajidae),current,
03049200,Toothfish (Dissostichus spp.),current,
27112900,Other,current,
27112100,Natural gas,current,
28042100,Argon,current,
02044100,Carcases and half-carcases,current,
08084000,Quinces,current,
15060000,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified",current,
15200000,"Glycerol, crude; glycerol waters and glycerol lyes",current,
28183000,Aluminium hydroxide,current,
28182000,"Aluminium oxide, other than artificial corundum",current,
28353100,Sodium triphosphate (sodium tripolyphosphate),current,
28353900,Other,current,
27149000,Other,current,
27141000,Bituminous or oil-shale and tar sands,current,
03078700,Other abalone (Haliotis spp.),current,
03078400,Frozen stromboid conchs (Strombus spp.),current,
03078200,"Live, fresh or chilled stromboid conchs (Strombus spp.)",current,
03078800,Other stromboid conchs (Strombus spp.),current,
03078300,Frozen abalone (Haliotis spp.),current,
03078100,"Live, fresh or chilled abalone (Haliotis spp.)",current,
